gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000000003	4623.735	-0.1245222	0.04559187	0.00602907	0.0149879
ENSG00000000005	60.73065	-0.683264	0.28946803	0.003522332	0.009158644
ENSG00000000419	1372.902	-0.2753968	0.06744643	3.566518e-05	0.0001265603
ENSG00000000457	353.5039	0.2527109	0.1274229	0.03833494	0.07855316
ENSG00000000460	864.4269	-0.3233194	0.08907081	0.00020775	0.0006628115
ENSG00000000938	0.4349471	0.05853917	0.64361879	0.5787832	NA
ENSG00000001036	3082.49	0.5684982	0.04962651	8.704025e-31	1.427913e-29
ENSG00000001084	2363.569	-0.1980342	0.07542214	0.007681581	0.01869764
ENSG00000001167	2521.549	-0.4410305	0.0514799	6.081528e-18	5.595868e-17
ENSG00000001460	728.0903	0.3074038	0.09129349	0.0005722829	0.001705947
ENSG00000001461	1508.23	0.613024	0.0653294	2.14567e-21	2.356605e-20
ENSG00000001497	3350.147	-0.6311277	0.0468312	6.82313e-42	1.701157e-40
ENSG00000001561	1705.777	0.6419106	0.05932772	8.433897e-28	1.235683e-26
ENSG00000001617	398.1794	-0.08864453	0.11694561	0.4321331	0.5729146
ENSG00000001626	0.3645207	-0.01026576	0.63975008	0.9184387	NA
ENSG00000001629	1413.931	-0.1919768	0.21795093	0.3178344	0.4565552
ENSG00000001630	3421.093	-0.547426	0.05371064	9.066353e-25	1.169878e-23
ENSG00000001631	1580.19	-0.06463259	0.06774988	0.3343148	0.4736376
ENSG00000002016	394.7122	0.008110853	0.13092227	0.9483527	0.9711723
ENSG00000002079	0.4577169	0.01782442	0.63678281	0.8649031	NA
ENSG00000002330	979.3826	-0.05470923	0.07794152	0.4757787	0.6148923
ENSG00000002549	2005.179	-0.1216538	0.05546691	0.02703199	0.05774065
ENSG00000002586	1959.773	0.1490969	0.09188604	0.09709276	0.1752148
ENSG00000002587	17.2321	1.459021	0.87073749	0.0005778519	0.001720688
ENSG00000002726	0.8782712	-0.02674	0.61143022	0.8437211	NA
ENSG00000002745	3.639418	-0.05982459	0.54005789	0.7659201	0.8529768
ENSG00000002746	8.640949	0.2832958	0.53699672	0.2380657	0.3652934
ENSG00000002822	971.975	-0.02193704	0.08110347	0.7832071	0.8647218
ENSG00000002834	3353.676	-0.05739937	0.04697018	0.2190433	0.3414234
ENSG00000002919	824.779	-0.6948787	0.11704622	6.886707e-10	3.835315e-09
ENSG00000002933	0.3211942	0.04279855	0.64294559	0.6735326	NA
ENSG00000003056	3266.148	-0.2267644	0.05091124	7.282969e-06	2.809418e-05
ENSG00000003096	662.8192	-0.2079146	0.09926471	0.03153871	0.0662448
ENSG00000003137	389.5791	-0.03979812	0.14247847	0.7683802	0.8544487
ENSG00000003147	182.6194	0.7952678	0.24128936	0.0001261081	0.0004159926
ENSG00000003249	1040.724	-0.545243	0.08019492	4.417587e-12	2.88129e-11
ENSG00000003393	1355.001	0.319658	0.09626808	0.0006606907	0.001946867
ENSG00000003400	242.7968	0.5157306	0.15552399	0.0003955725	0.001207402
ENSG00000003402	716.3609	0.1190212	0.11191056	0.2717636	0.405605
ENSG00000003436	253.7253	0.2479181	0.15368001	0.08581128	0.1576935
ENSG00000003509	544.6027	-0.3021528	0.11771721	0.007705387	0.01874938
ENSG00000003756	2794.344	-0.1479738	0.09241403	0.1015008	0.1820234
ENSG00000003987	73.43028	0.2291672	0.25340747	0.2832858	0.4186392
ENSG00000003989	2788.302	-0.3128797	0.07045261	6.741567e-06	2.609578e-05
ENSG00000004059	3960.33	0.1916021	0.04650311	3.412716e-05	0.0001214542
ENSG00000004139	1054.683	0.3213008	0.09263512	0.0003843801	0.001175516
ENSG00000004142	6593.624	-0.332211	0.03634924	4.608188e-20	4.707392e-19
ENSG00000004399	873.6013	0.7887288	0.10811212	4.711465e-14	3.508555e-13
ENSG00000004455	8087.659	-0.8852441	0.04000283	1.674315e-109	2.123205e-107
ENSG00000004468	1.545234	0.103641	0.58625498	0.550207	0.6823469
ENSG00000004478	13676.6	-0.8990622	0.0306072	1.111892e-190	5.21998e-188
ENSG00000004487	8921.372	-0.2935037	0.03410633	5.977e-18	5.504279e-17
ENSG00000004534	2381.058	-0.1321867	0.0554476	0.01624561	0.03679147
ENSG00000004660	394.4038	-0.1144102	0.12200269	0.3295451	0.468647
ENSG00000004700	3175.428	0.5475799	0.05355292	6.457171e-25	8.381029e-24
ENSG00000004766	722.0629	-0.1960799	0.0942273	0.03312239	0.06914337
ENSG00000004776	9.889238	0.4982435	0.51057805	0.07274278	0.1370215
ENSG00000004777	212.5618	0.4308376	0.18360108	0.01017507	0.0241308
ENSG00000004779	2439.838	-0.7512766	0.05414401	1.742198e-44	4.823287e-43
ENSG00000004799	104.9465	0.6053536	0.21494156	0.001443453	0.004021438
