gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000002587	17.2321	1.459021	0.87073749	0.0005778519	0.001720688
ENSG00000005189	389.534	1.39918	0.13007145	3.299455e-29	5.13779e-28
ENSG00000005194	1703.888	-1.398293	0.06164448	3.5913329999999997e-116	5.179266e-114
ENSG00000005471	95.01157	1.404076	0.26482167	8.636621e-10	4.770139e-09
ENSG00000006047	30.99724	1.235897	0.47836055	0.0001561847	0.0005082915
ENSG00000006128	19.5778	1.296159	0.60397804	0.0004106904	0.001249743
ENSG00000006468	122.7285	-2.547009	0.24935455	1.236253e-26	1.736342e-25
ENSG00000006611	237.5691	2.044724	0.16566788	1.2061209999999999e-36	2.443806e-35
ENSG00000007171	284.9337	1.121112	0.14461647	2.110588e-16	1.785664e-15
ENSG00000007237	360.3099	1.071314	0.22389576	5.320308e-08	2.535477e-07
ENSG00000007350	57.01742	1.067164	0.34736612	6.603279e-05	0.0002263849
ENSG00000011376	2059.064	-1.029829	0.05781656	2.435156e-72	1.410282e-70
ENSG00000012779	54.41806	1.348435	0.39789626	7.3949e-06	2.850104e-05
ENSG00000012822	1140.622	1.059194	0.07485669	6.589374000000001e-47	1.983554e-45
ENSG00000013523	2512.621	-1.001786	0.06581393	1.295516e-53	4.717091e-52
ENSG00000014914	137.0305	1.286568	0.22441474	1.033638e-10	6.127677e-10
ENSG00000018236	472.5289	1.111224	0.12163079	1.6104899999999999e-21	1.7821199999999998e-20
ENSG00000019505	32.90888	1.010046	0.42074897	0.0006333235	0.001873228
ENSG00000020129	2586.472	-1.107252	0.05164273	1.431859e-103	1.636993e-101
ENSG00000021300	514.0173	1.447497	0.11985293	7.532177999999999e-36	1.493239e-34
ENSG00000021355	571.582	1.259567	0.11845543	2.141448e-28	3.2231280000000003e-27
ENSG00000021762	380.8063	1.515836	0.14436714	4.691895e-28	6.952765000000001e-27
ENSG00000021826	324.3571	2.891041	0.16324211	3.835271e-73	2.250671e-71
ENSG00000023445	67.50587	1.732662	0.31417022	2.244292e-10	1.296004e-09
ENSG00000026508	76.34077	2.61197	0.43394987	5.571753e-12	3.610594e-11
ENSG00000028277	56.59055	1.199923	0.38493435	3.225721e-05	0.0001153574
ENSG00000033011	890.6876	-1.015903	0.08650903	3.522902e-33	6.324885000000001e-32
ENSG00000033327	308.7252	1.050223	0.14072571	3.064007e-15	2.451316e-14
ENSG00000035115	320.3913	1.002211	0.14203352	8.2846e-14	6.069047e-13
ENSG00000036448	273.9617	1.466656	0.18635688	2.0769760000000003e-17	1.862189e-16
