"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"1","ENSG00000000003",4623.735,-0.1245222,0.04559187,0.00602907,0.0149879,"TSPAN6","DOWN"
"2","ENSG00000000005",60.73065,-0.683264,0.28946803,0.003522332,0.009158644,"TNMD","DOWN"
"3","ENSG00000000419",1372.902,-0.2753968,0.06744643,3.566518e-05,0.0001265603,"DPM1","DOWN"
"4","ENSG00000000460",864.4269,-0.3233194,0.08907081,0.00020775,0.0006628115,"FIRRM","DOWN"
"5","ENSG00000001084",2363.569,-0.1980342,0.07542214,0.007681581,0.01869764,"GCLC","DOWN"
"6","ENSG00000001167",2521.549,-0.4410305,0.0514799,6.081528e-18,5.595868e-17,"NFYA","DOWN"
"7","ENSG00000001497",3350.147,-0.6311277,0.0468312,6.82313e-42,1.701157e-40,"LAS1L","DOWN"
"8","ENSG00000001630",3421.093,-0.547426,0.05371064,9.066353e-25,1.169878e-23,"CYP51A1","DOWN"
"9","ENSG00000002919",824.779,-0.6948787,0.11704622,6.886707e-10,3.835315e-09,"SNX11","DOWN"
"10","ENSG00000003056",3266.148,-0.2267644,0.05091124,7.282969e-06,2.809418e-05,"M6PR","DOWN"
"11","ENSG00000003249",1040.724,-0.545243,0.08019492,4.417587e-12,2.88129e-11,"DBNDD1","DOWN"
"12","ENSG00000003509",544.6027,-0.3021528,0.11771721,0.007705387,0.01874938,"NDUFAF7","DOWN"
"13","ENSG00000003989",2788.302,-0.3128797,0.07045261,6.741567e-06,2.609578e-05,"SLC7A2","DOWN"
"14","ENSG00000004142",6593.624,-0.332211,0.03634924,4.608188e-20,4.707392e-19,"POLDIP2","DOWN"
"15","ENSG00000004455",8087.659,-0.8852441,0.04000283,1.674315e-109,2.123205e-107,"AK2","DOWN"
"16","ENSG00000004478",13676.6,-0.8990622,0.0306072,1.111892e-190,5.21998e-188,"FKBP4","DOWN"
"17","ENSG00000004487",8921.372,-0.2935037,0.03410633,5.977e-18,5.504279e-17,"KDM1A","DOWN"
"18","ENSG00000004534",2381.058,-0.1321867,0.0554476,0.01624561,0.03679147,"RBM6","DOWN"
"19","ENSG00000004779",2439.838,-0.7512766,0.05414401,1.742198e-44,4.823287e-43,"NDUFAB1","DOWN"
"20","ENSG00000004864",2613.555,-0.1392783,0.05373412,0.009007217,0.02160072,"SLC25A13","DOWN"
"21","ENSG00000004866",550.7566,-0.8845982,0.10896708,4.624993e-17,4.059287e-16,"ST7","DOWN"
"22","ENSG00000004897",6549.976,-0.1666839,0.04891111,0.0006045423,0.001795561,"CDC27","DOWN"
"23","ENSG00000004961",1454.066,-0.5154318,0.07840132,2.249853e-11,1.39212e-10,"HCCS","DOWN"
"24","ENSG00000004975",2756.486,-0.1403776,0.04971536,0.004482057,0.01142389,"DVL2","DOWN"
"25","ENSG00000005007",5700.712,-0.4535916,0.04644112,8.659727e-23,1.015826e-21,"UPF1","DOWN"
"26","ENSG00000005022",13825.33,-0.2164392,0.03035154,8.757961e-13,5.986506e-12,"SLC25A5","DOWN"
"27","ENSG00000005075",1936.487,-0.426138,0.0594851,4.654276e-13,3.226409e-12,"POLR2J","DOWN"
"28","ENSG00000005100",3206.024,-0.4172066,0.05235575,9.745402e-16,7.978935e-15,"DHX33","DOWN"
"29","ENSG00000005156",2575.608,-0.5218397,0.06255929,3.335917e-17,2.953732e-16,"LIG3","DOWN"
"30","ENSG00000005175",2612.715,-0.3739706,0.05881058,1.360865e-10,7.979666e-10,"RPAP3","DOWN"
"31","ENSG00000005194",1703.888,-1.398293,0.06164448,3.591333e-116,5.179266e-114,"CIAPIN1","DOWN"
"32","ENSG00000005339",3533.405,-0.1771949,0.0583028,0.002163875,0.005848348,"CREBBP","DOWN"
"33","ENSG00000005436",1336.802,-0.4181724,0.07984053,9.752919e-08,4.523821e-07,"GCFC2","DOWN"
"34","ENSG00000005469",397.5014,-0.5458276,0.12503401,5.142497e-06,2.023706e-05,"CROT","DOWN"
"35","ENSG00000005810",4457.117,-0.5188335,0.08397731,2.942964e-10,1.687101e-09,"MYCBP2","DOWN"
"36","ENSG00000006007",3153.426,-0.520036,0.05229267,1.221198e-23,1.484613e-22,"GDE1","DOWN"
"37","ENSG00000006194",890.4082,-0.4508472,0.08481749,5.853766e-08,2.777707e-07,"ZNF263","DOWN"
"38","ENSG00000006377",301.5569,-0.3444864,0.13730693,0.008282936,0.02002224,"DLX6","DOWN"
"39","ENSG00000006432",639.3095,-0.5455153,0.10202397,3.695348e-08,1.787327e-07,"MAP3K9","DOWN"
"40","ENSG00000006451",2367.02,-0.1630826,0.05398222,0.002331161,0.006268227,"RALA","DOWN"
"41","ENSG00000006468",122.7285,-2.547009,0.24935455,1.236253e-26,1.736342e-25,"ETV1","DOWN"
"42","ENSG00000006607",2030.273,-0.407074,0.06372026,1.039092e-10,6.158359e-10,"FARP2","DOWN"
"43","ENSG00000006625",2060.211,-0.1823656,0.05441195,0.0007300016,0.002134844,"GGCT","DOWN"
"44","ENSG00000006634",1226.262,-0.5716855,0.07819617,1.021952e-13,7.439583e-13,"DBF4","DOWN"
"45","ENSG00000006652",1605.528,-0.1636124,0.06351868,0.009228822,0.02208851,"IFRD1","DOWN"
"46","ENSG00000006695",714.1203,-0.3592116,0.09342139,8.205345e-05,0.0002775578,"COX10","DOWN"
"47","ENSG00000006712",2984.575,-0.8791822,0.04857415,3.356476e-74,2.029058e-72,"PAF1","DOWN"
"48","ENSG00000006744",3627.717,-0.5733579,0.05631899,9.379269e-25,1.20743e-23,"ELAC2","DOWN"
"49","ENSG00000007080",3454.116,-0.6354554,0.04734068,1.386582e-41,3.422252e-40,"CCDC124","DOWN"
"50","ENSG00000007168",5429.713,-0.1364941,0.04826706,0.004437022,0.01131956,"PAFAH1B1","DOWN"
"51","ENSG00000007202",11499.15,-0.3744332,0.04266199,1.131454e-18,1.078891e-17,"BLTP2","DOWN"
"52","ENSG00000007264",263.2124,-0.6545862,0.14439607,1.570439e-06,6.50859e-06,"MATK","DOWN"
"53","ENSG00000007376",1642.172,-0.8966785,0.06968212,6.415574e-39,1.438614e-37,"RPUSD1","DOWN"
"54","ENSG00000007392",1213.641,-0.4000339,0.07142398,1.340631e-08,6.733672e-08,"LUC7L","DOWN"
"55","ENSG00000007520",1886.29,-0.4072861,0.05869073,2.442874e-12,1.619652e-11,"TSR3","DOWN"
"56","ENSG00000007923",3932.931,-0.949912,0.04673527,5.400008e-93,4.944033e-91,"DNAJC11","DOWN"
"57","ENSG00000007944",587.668,-0.4356828,0.10061713,8.455882e-06,3.237533e-05,"MYLIP","DOWN"
"58","ENSG00000007968",2094.944,-0.1836616,0.05731984,0.001228129,0.003465747,"E2F2","DOWN"
