"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"1","ENSG00000004846",51.90382,-2.043555,0.49084466,1.166569e-07,9.149024e-06,"ABCB5","DOWN"
"2","ENSG00000005073",275.5513,-0.5728208,0.27870209,0.0003430255,0.008525142,"HOXA11","DOWN"
"3","ENSG00000005194",1357.09,-0.3051237,0.14996823,0.001053781,0.02103521,"CIAPIN1","DOWN"
"4","ENSG00000005483",6353.789,-0.2201268,0.11130475,0.003099083,0.046658,"KMT2E","DOWN"
"5","ENSG00000006283",613.9581,-1.024295,0.20570547,1.959879e-08,1.818612e-06,"CACNA1G","DOWN"
"6","ENSG00000006468",161.2312,-0.8587487,0.34160739,7.720571e-05,0.002440378,"ETV1","DOWN"
"7","ENSG00000006606",68.85523,-1.472461,0.43081625,3.48013e-06,0.0001817035,"CCL26","DOWN"
"8","ENSG00000008311",956.2891,-0.2955279,0.15139259,0.001400124,0.02613763,"AASS","DOWN"
"9","ENSG00000008394",916.9573,-1.457368,0.15063662,6.886424e-24,6.146625e-21,"MGST1","DOWN"
"10","ENSG00000009709",448.5156,-1.17298,0.19352503,3.063036e-11,5.080845e-09,"PAX7","DOWN"
"11","ENSG00000013364",2969.66,-0.5485598,0.13746257,6.95025e-07,4.555087e-05,"MVP","DOWN"
"12","ENSG00000013588",10330.06,-0.5822094,0.13167234,1.315574e-07,1.018972e-05,"GPRC5A","DOWN"
"13","ENSG00000018236",2209.071,-1.359692,0.12033587,2.151958e-31,6.722717e-28,"CNTN1","DOWN"
"14","ENSG00000018510",13953.71,-0.3107736,0.1176903,0.000206928,0.005588846,"AGPS","DOWN"
"15","ENSG00000019549",1169.397,-0.2832792,0.15701398,0.002199886,0.03658799,"SNAI2","DOWN"
"16","ENSG00000020633",140.7983,-1.255163,0.30562077,5.161772e-07,3.557068e-05,"RUNX3","DOWN"
"17","ENSG00000023171",148.8204,-0.5507987,0.42075074,0.001751354,0.03088182,"GRAMD1B","DOWN"
"18","ENSG00000025039",505.0083,-0.4991559,0.20929633,0.0001627805,0.004608999,"RRAGD","DOWN"
"19","ENSG00000026025",78437.92,-0.3622094,0.10811439,1.278732e-05,0.0005386192,"VIM","DOWN"
"20","ENSG00000026103",613.2644,-0.4947875,0.1939121,0.000101535,0.003064691,"FAS","DOWN"
"21","ENSG00000026751",66.10792,-1.754551,0.5550704,3.635318e-06,0.0001887545,"SLAMF7","DOWN"
"22","ENSG00000026950",362.1623,-0.8713294,0.20785077,7.090101e-07,4.614474e-05,"BTN3A1","DOWN"
"23","ENSG00000028277",90.91917,-0.9276956,0.53502074,0.0002875875,0.007344059,"POU2F2","DOWN"
"24","ENSG00000030419",1494.419,-0.3606975,0.1628034,0.0004303859,0.01023751,"IKZF2","DOWN"
"25","ENSG00000031081",2107.159,-0.7647228,0.12950206,2.244521e-10,3.187219e-08,"ARHGAP31","DOWN"
"26","ENSG00000036054",9509.023,-0.6532612,0.10784033,5.294308e-11,8.554872e-09,"TBC1D23","DOWN"
"27","ENSG00000047346",755.8894,-0.4078657,0.20448273,0.0006045469,0.01353838,"ATOSA","DOWN"
"28","ENSG00000048342",860.6519,-0.8031229,0.16559794,4.978193e-08,4.203209e-06,"CC2D2A","DOWN"
"29","ENSG00000048392",8514.927,-0.8292496,0.1146922,4.307194e-14,1.242062e-11,"RRM2B","DOWN"
"30","ENSG00000048649",6301.456,-0.2169599,0.10781397,0.002987907,0.04561784,"RSF1","DOWN"
"31","ENSG00000049089",241.8113,-0.3956043,0.30104538,0.003197292,0.04762059,"COL9A2","DOWN"
"32","ENSG00000049249",294.406,-1.250345,0.34022096,2.258729e-06,0.0001246217,"TNFRSF9","DOWN"
"33","ENSG00000049323",1780.798,-0.5803182,0.14297552,6.052364e-07,4.080774e-05,"LTBP1","DOWN"
"34","ENSG00000049449",16512.78,-0.3467887,0.10896557,2.670026e-05,0.001019287,"RCN1","DOWN"
"35","ENSG00000054598",856.621,-0.2718787,0.1587522,0.002997702,0.04568206,"FOXC1","DOWN"
"36","ENSG00000055163",4036.991,-0.3241926,0.14556224,0.0005506895,0.01249652,"CYFIP2","DOWN"
"37","ENSG00000055813",191.6959,-0.8132915,0.2896894,4.257766e-05,0.001497328,"CCDC85A","DOWN"
"38","ENSG00000060688",3416.166,-0.8517134,0.10730679,1.884734e-16,8.215687e-14,"SNRNP40","DOWN"
"39","ENSG00000060718",8216.414,-0.7224389,0.11822005,5.988342e-11,9.51233e-09,"COL11A1","DOWN"
"40","ENSG00000062725",8327.086,-0.2100828,0.10245439,0.002991055,0.04561784,"APPBP2","DOWN"
"41","ENSG00000064115",5556.059,-0.4164602,0.13925078,3.060945e-05,0.001145197,"TM7SF3","DOWN"
"42","ENSG00000064419",3569.08,-0.5625141,0.11686348,1.874904e-08,1.75716e-06,"TNPO3","DOWN"
"43","ENSG00000064666",2548.505,-0.2610145,0.14434598,0.002736917,0.04303756,"CNN2","DOWN"
"44","ENSG00000065534",2964.257,-0.2896765,0.12632859,0.0006525267,0.01440631,"MYLK","DOWN"
"45","ENSG00000065621",482.9666,-0.6029058,0.21308862,4.387362e-05,0.001537135,"GSTO2","DOWN"
"46","ENSG00000065675",514.7978,-0.3311963,0.19883204,0.002048531,0.03468383,"PRKCQ","DOWN"
"47","ENSG00000066427",1339.629,-0.3304707,0.17599164,0.001249229,0.02396679,"ATXN3","DOWN"
"48","ENSG00000066583",2050.728,-0.2469903,0.12375262,0.002137375,0.03573859,"ISOC1","DOWN"
"49","ENSG00000067167",12878.3,-0.2791931,0.12042651,0.0006877593,0.0150074,"TRAM1","DOWN"
"50","ENSG00000069431",144.7561,-0.7777804,0.45536343,0.0004437088,0.01050111,"ABCC9","DOWN"
"51","ENSG00000070087",11322.8,-0.404044,0.10628762,1.584615e-06,9.252964e-05,"PFN2","DOWN"
"52","ENSG00000070371",1577.782,-0.3383896,0.13434714,0.0002223481,0.005928439,"CLTCL1","DOWN"
"53","ENSG00000071553",3104.269,-0.2453323,0.12132383,0.002056334,0.03475557,"ATP6AP1","DOWN"
"54","ENSG00000071967",1702.254,-0.2743151,0.13418997,0.00140226,0.02613763,"CYBRD1","DOWN"
"55","ENSG00000072042",9515.452,-0.2363431,0.10162664,0.001126168,0.02214994,"RDH11","DOWN"
"56","ENSG00000072133",1265.743,-0.578218,0.14602065,8.923426e-07,5.594003e-05,"RPS6KA6","DOWN"
"57","ENSG00000072201",217.3887,-1.863285,0.25609387,7.997152e-15,2.49831e-12,"LNX1","DOWN"
"58","ENSG00000073146",46.47276,-1.092144,0.66651362,0.0002049998,0.005566596,"MOV10L1","DOWN"
"59","ENSG00000073921",7327.715,-0.3520373,0.1151228,3.831953e-05,0.001381272,"PICALM","DOWN"
"60","ENSG00000074410",2538.455,-0.4448032,0.16002515,5.534276e-05,0.001836008,"CA12","DOWN"
"61","ENSG00000074527",357.8166,-1.187552,0.21279356,5.134519e-10,6.683432e-08,"NTN4","DOWN"
"62","ENSG00000076043",2790.294,-0.2291727,0.11776583,0.002963716,0.04542265,"REXO2","DOWN"
"63","ENSG00000077782",2776.917,-0.2694679,0.14149224,0.002026939,0.0344451,"FGFR1","DOWN"
"64","ENSG00000078061",1613.385,-0.4541214,0.14346792,1.48472e-05,0.0006143396,"ARAF","DOWN"
"65","ENSG00000078237",4026.58,-0.3154171,0.11081593,0.0001085749,0.003230362,"TIGAR","DOWN"
"66","ENSG00000078328",52.29191,-0.5465364,0.59899323,0.00257011,0.04110422,"RBFOX1","DOWN"
"67","ENSG00000078401",948.029,-0.9179015,0.16377648,1.061309e-09,1.308761e-07,"EDN1","DOWN"
"68","ENSG00000078687",1110.128,-0.5776569,0.18638546,1.908511e-05,0.0007643833,"TNRC6C","DOWN"
"69","ENSG00000078804",885.6224,-0.3737153,0.19974757,0.0009722867,0.0197449,"TP53INP2","DOWN"
"70","ENSG00000081052",236.6888,-0.3971734,0.27325767,0.002353629,0.03859705,"COL4A4","DOWN"
"71","ENSG00000081479",17.97267,-0.4745659,0.71014736,0.002124683,0.03555808,"LRP2","DOWN"
"72","ENSG00000082126",69.98891,-0.6274926,0.49738434,0.001423624,0.02644639,"MPP4","DOWN"
"73","ENSG00000082781",4832.755,-0.3923577,0.12454295,2.023828e-05,0.0008020008,"ITGB5","DOWN"
"74","ENSG00000083067",36.41582,-1.119391,0.7354811,0.0002055103,0.005566596,"TRPM3","DOWN"
"75","ENSG00000084444",995.5825,-0.2654721,0.14554125,0.002522078,0.0405784,"FAM234B","DOWN"
"76","ENSG00000084453",186.7932,-1.560091,0.26743639,8.907553e-11,1.368551e-08,"SLCO1A2","DOWN"
"77","ENSG00000084731",2816.139,-0.3562734,0.18046058,0.000828197,0.01730889,"KIF3C","DOWN"
"78","ENSG00000086289",2004.113,-0.2443232,0.12042164,0.002050239,0.03468383,"EPDR1","DOWN"
"79","ENSG00000086991",327.3658,-1.242926,0.23485566,2.249492e-09,2.600962e-07,"NOX4","DOWN"
"80","ENSG00000087088",2977.032,-0.2313376,0.11842225,0.002838441,0.04415249,"BAX","DOWN"
"81","ENSG00000087116",187.4998,-0.5058302,0.3527648,0.001631087,0.02945385,"ADAMTS2","DOWN"
"82","ENSG00000087245",7531.364,-1.08305,0.12082949,9.795608e-21,7.06188e-18,"MMP2","DOWN"
"83","ENSG00000087995",2547.392,-0.2769519,0.11724047,0.0006320353,0.01403657,"METTL2A","DOWN"
"84","ENSG00000089041",58.55647,-1.528801,0.48313709,5.862286e-06,0.000278184,"P2RX7","DOWN"
"85","ENSG00000089199",44.96147,-1.467621,0.64358677,3.285498e-05,0.001209656,"CHGB","DOWN"
"86","ENSG00000089225",55.79798,-1.355211,0.57168322,3.799995e-05,0.001375041,"TBX5","DOWN"
"87","ENSG00000089250",264.4355,-2.737475,0.28981499,4.301343e-25,5.374958e-22,"NOS1","DOWN"
