gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000000003	2767.248	-0.08250089	0.08920586	0.1458272	0.5168058
ENSG00000000419	4066.745	-0.008727215	0.08473668	0.8671997	0.9688735
ENSG00000000457	405.2589	0.06712998	0.12332008	0.2629113	0.6671565
ENSG00000000460	2562.768	0.2150476	0.11493821	0.004158586	0.05799742
ENSG00000000971	12.17414	-0.09304008	0.29600923	0.1057997	NA
ENSG00000001036	2830.594	0.1410794	0.10010346	0.0280718	0.212254
ENSG00000001084	3630.669	-0.01786439	0.08990533	0.7372476	0.9356719
ENSG00000001167	5892.731	0.1868644	0.11165536	0.008996651	0.09965893
ENSG00000001460	514.031	-0.06681693	0.11157422	0.2592894	0.6639105
ENSG00000001461	1013.156	0.07396357	0.11656412	0.2214603	0.6194676
ENSG00000001497	5373.407	0.03409498	0.07258861	0.4919372	0.836937
ENSG00000001561	1642.168	0.1084136	0.10415981	0.08232453	0.3867574
ENSG00000001617	1273.412	0.1068086	0.14224236	0.1112306	0.4533392
ENSG00000001626	2.911714	-0.0151127	0.25258853	0.5949411	NA
ENSG00000001629	9361.726	0.1163976	0.09688567	0.05761795	0.320187
ENSG00000001630	6776.892	0.03143487	0.07440425	0.5305307	0.8540286
ENSG00000001631	3590.336	0.1654738	0.10649663	0.01519842	0.1418015
ENSG00000002016	1057.517	0.06301594	0.10560669	0.2792652	0.6830482
ENSG00000002079	92.83672	0.1067241	0.21535061	0.120879	0.4723276
ENSG00000002330	127.6239	0.00574276	0.13474514	0.9129937	0.9813638
ENSG00000002549	2174.909	0.07335589	0.09164789	0.1959094	0.5913548
ENSG00000002586	1850.055	0.0373817	0.08355946	0.478795	0.831372
ENSG00000002587	0.4214346	-0.001532622	0.26599887	0.9213061	NA
ENSG00000002726	1.175424	-0.02492083	0.27596108	0.2377279	NA
ENSG00000002745	0.1852849	0.003429645	0.26629282	0.8250612	NA
ENSG00000002746	225.2523	-0.2097667	0.21942111	0.0218734	0.1815744
ENSG00000002822	3450.401	0.04195713	0.07727405	0.4133627	0.7931715
ENSG00000002834	22834.94	-0.01105293	0.07745121	0.8270493	0.9588893
ENSG00000002919	709.9191	0.01265807	0.09045356	0.8118878	0.9557317
ENSG00000002933	80.74086	0.03286814	0.14829797	0.5435518	0.8616155
ENSG00000003056	9926.363	0.06317861	0.08683095	0.2497453	0.6529048
ENSG00000003096	436.203	-0.02721178	0.10146844	0.619769	0.8961269
ENSG00000003137	739.2814	0.174892	0.13859795	0.02162844	0.1802594
ENSG00000003147	31.32342	-0.01018853	0.17305505	0.8356755	0.9611198
ENSG00000003249	772.6767	0.1364371	0.1316761	0.05209937	0.302497
ENSG00000003393	3040.881	0.1145719	0.09652012	0.0606108	0.3292057
ENSG00000003400	14.75584	0.0640996	0.25189566	0.2158072	0.612246
ENSG00000003402	1384.658	-0.1485962	0.13276932	0.03888336	0.2569015
ENSG00000003436	2698.536	-0.1866827	0.14699678	0.01815855	0.1600959
ENSG00000003509	1394.386	-0.01437175	0.08213507	0.7812403	0.9463943
ENSG00000003756	5223.384	-0.05016032	0.08813358	0.3568454	0.7558271
ENSG00000003987	2.722835	-0.02580926	0.26065034	0.3804876	NA
ENSG00000003989	2531.751	0.1099986	0.11374896	0.0875387	0.3992141
ENSG00000004059	1467.474	0.09081457	0.10374839	0.1344954	0.4976278
ENSG00000004139	218.3485	-0.003536593	0.1263869	0.9469547	0.9881466
ENSG00000004142	3893.501	0.01507583	0.0728719	0.7599847	0.9427009
ENSG00000004399	2023.968	-0.05961172	0.10329188	0.301096	0.7052917
ENSG00000004455	6866.637	-0.04284739	0.07722531	0.4036716	0.7884334
ENSG00000004468	1.166588	-0.001242858	0.25890967	0.9530965	NA
ENSG00000004478	15811.75	0.0159384	0.06773639	0.7381592	0.9357871
ENSG00000004487	8454.194	0.004081043	0.07225564	0.9337245	0.9857828
ENSG00000004534	6120.983	0.1837264	0.10223877	0.007309482	0.08606089
ENSG00000004660	665.0217	-0.004191061	0.0969237	0.9378145	0.9860604
ENSG00000004700	10981.17	-0.01277884	0.0712673	0.7935317	0.9492439
ENSG00000004766	1169.75	-0.03756435	0.09383126	0.492359	0.8372291
ENSG00000004776	13.56578	-0.005839515	0.19634359	0.8975777	0.9774294
ENSG00000004777	152.4161	0.02847066	0.14469146	0.5960776	0.8866396
ENSG00000004779	1396.334	0.02572302	0.08724036	0.6279367	0.8981755
ENSG00000004799	115.7879	-0.003591332	0.14237561	0.9448011	0.9875838
ENSG00000004809	3.63596	0.0005857989	0.2349858	0.9863635	NA
ENSG00000004838	50.66684	0.07083583	0.19407346	0.2368324	0.6387473
ENSG00000004846	51.90382	-2.043555	0.49084466	1.166569e-07	9.149024e-06
ENSG00000004848	1.40167	0.01693351	0.26255889	0.4732041	NA
ENSG00000004864	2528.28	0.06234444	0.08602276	0.253844	0.6578256
ENSG00000004866	662.5097	-0.01775873	0.09379145	0.7410721	0.9362403
ENSG00000004897	14006.32	0.009733041	0.07637882	0.8465422	0.9633277
ENSG00000004939	2.338334	-0.02193161	0.2567494	0.4537798	NA
ENSG00000004948	2.514651	0.01260623	0.25016863	0.6621054	NA
ENSG00000004961	716.9807	0.007567105	0.09849215	0.8882912	0.9759823
ENSG00000004975	933.4931	-0.04457274	0.09756722	0.4234461	0.8003876
ENSG00000005001	0.3894418	0.006109806	0.26693075	0.6964378	NA
ENSG00000005007	1649.425	0.01254025	0.09006286	0.8134112	0.9560654
ENSG00000005020	4.953287	0.01353931	0.23905789	0.6930861	NA
ENSG00000005022	18627.34	0.07989125	0.0834502	0.1455785	0.5168058
ENSG00000005059	631.4558	-0.01324861	0.09538664	0.805359	0.9528276
ENSG00000005073	275.5513	-0.5728208	0.27870209	0.0003430255	0.008525142
ENSG00000005075	964.2293	0.02973558	0.08877045	0.5784195	0.877757
ENSG00000005100	2864.712	0.1510021	0.10457689	0.02283987	0.1869478
